2459215.500000000, A.D. 2021-Jan-01 00:00:00.0000,  1.969334281094003E-01,  1.236643498157464E+04,  4.232791828577092E+01,  1.617812859934757E-01,  2.387848099002272E+02,  2.459215408745979E+06,  1.893006311231973E-02,  1.492511936985330E+02,  1.587227456364637E+02,  1.539901598999603E+04,  1.843159699841742E+04,  1.901736924298531E+04,
2459215.500500000, A.D. 2021-Jan-01 00:00:43.2000,  1.969349777442066E-01,  1.236638711836833E+04,  4.232783388879395E+01,  1.616300397983405E-01,  2.387843070685913E+02,  2.459215408745755E+06,  1.893011822079084E-02,  1.500697751527877E+02,  1.593013685641766E+02,  1.539898610405344E+04,  1.843158508973855E+04,  1.901731388051312E+04,
2459215.501000000, A.D. 2021-Jan-01 00:01:26.4000,  1.969365755833111E-01,  1.236633855377095E+04,  4.232774922428836E+01,  1.614762178786334E-01,  2.387838212448927E+02,  2.459215408745545E+06,  1.893017323581746E-02,  1.508883389277548E+02,  1.598789823406443E+02,  1.539895626893148E+04,  1.843157398409201E+04,  1.901725861223764E+04,
2459215.501500000, A.D. 2021-Jan-01 00:02:09.6000,  1.969382198145041E-01,  1.236628932046332E+04,  4.232766432428076E+01,  1.613198227411159E-01,  2.387833527265975E+02,  2.459215408745348E+06,  1.893022814644391E-02,  1.517068847247078E+02,  1.604556156645994E+02,  1.539892649057073E+04,  1.843156366067814E+04,  1.901720344916324E+04,
2459215.502000000, A.D. 2021-Jan-01 00:02:52.8000,  1.969399086125004E-01,  1.236623945119855E+04,  4.232757922055064E+01,  1.611608574937588E-01,  2.387829017946104E+02,  2.459215408745165E+06,  1.893028294200999E-02,  1.525254122617630E+02,  1.610312970965824E+02,  1.539889677475142E+04,  1.843155409830429E+04,  1.901714840199720E+04,
2459215.502500000, A.D. 2021-Jan-01 00:03:36.0000,  1.969416401402097E-01,  1.236618897878794E+04,  4.232749394463247E+01,  1.609993258338227E-01,  2.387824687133615E+02,  2.459215408744995E+06,  1.893033761213846E-02,  1.533439212737964E+02,  1.616060550633347E+02,  1.539886712710021E+04,  1.843154527541249E+04,  1.901709348116231E+04,
2459215.503000000, A.D. 2021-Jan-01 00:04:19.2000,  1.969434125499736E-01,  1.236613793608731E+04,  4.232740852781858E+01,  1.608352320347781E-01,  2.387820537308955E+02,  2.459215408744839E+06,  1.893039214672271E-02,  1.541624115123474E+02,  1.621799178621751E+02,  1.539883755309690E+04,  1.843153717010649E+04,  1.901703869680927E+04,
2459215.503500000, A.D. 2021-Jan-01 00:05:02.4000,  1.969452239847810E-01,  1.236608635598368E+04,  4.232732300116143E+01,  1.606685809351608E-01,  2.387816570789652E+02,  2.459215408744696E+06,  1.893044653591444E-02,  1.549808827455352E+02,  1.627529136653739E+02,  1.539880805808111E+04,  1.843152976017855E+04,  1.901698405882902E+04,
2459215.504000000, A.D. 2021-Jan-01 00:05:45.6000,  1.969470725794628E-01,  1.236603427138198E+04,  4.232723739547654E+01,  1.604993779275015E-01,  2.387812789731269E+02,  2.459215408744568E+06,  1.893050077011180E-02,  1.557993347579560E+02,  1.633250705245075E+02,  1.539877864725872E+04,  1.843152302313546E+04,  1.901692957686475E+04,
2459215.504500000, A.D. 2021-Jan-01 00:06:28.8000,  1.969489564618468E-01,  1.236598171519258E+04,  4.232715174134515E+01,  1.603276289471821E-01,  2.387809196128398E+02,  2.459215408744453E+06,  1.893055483994725E-02,  1.566177673505868E+02,  1.638964163748062E+02,  1.539874932570842E+04,  1.843151693622425E+04,  1.901687526032402E+04,
2459215.505000000, A.D. 2021-Jan-01 00:07:12.0000,  1.969508737539148E-01,  1.236592872031848E+04,  4.232706606911711E+01,  1.601533404627224E-01,  2.387805791815671E+02,  2.459215408744352E+06,  1.893060873627614E-02,  1.574361803406815E+02,  1.644669790394884E+02,  1.539872009838796E+04,  1.843151147645743E+04,  1.901682111839030E+04,
2459215.505500000, A.D. 2021-Jan-01 00:07:55.2000,  1.969528225729179E-01,  1.236587531964315E+04,  4.232698040891368E+01,  1.599765194656745E-01,  2.387802578468789E+02,  2.459215408744265E+06,  1.893066245016515E-02,  1.582545735616699E+02,  1.650367862340863E+02,  1.539869097014040E+04,  1.843150662063766E+04,  1.901676716003456E+04,
2459215.506000000, A.D. 2021-Jan-01 00:08:38.4000,  1.969548010324722E-01,  1.236582154601866E+04,  4.232689479063071E+01,  1.597971734618207E-01,  2.387799557605581E+02,  2.459215408744193E+06,  1.893071597288072E-02,  1.590729468630493E+02,  1.656058655707572E+02,  1.539866194570038E+04,  1.843150234538210E+04,  1.901671339402691E+04,
2459215.506500000, A.D. 2021-Jan-01 00:09:21.6000,  1.969568072436459E-01,  1.236576743225376E+04,  4.232680924394135E+01,  1.596153104621118E-01,  2.387796730587080E+02,  2.459215408744134E+06,  1.893076929587820E-02,  1.598913001102813E+02,  1.661742445625885E+02,  1.539863302970003E+04,  1.843149862714629E+04,  1.901665982894752E+04,
2459215.507000000, A.D. 2021-Jan-01 00:10:04.8000,  1.969588393160153E-01,  1.236571301110238E+04,  4.232672379829927E+01,  1.594309389742986E-01,  2.387794098618601E+02,  2.459215408744089E+06,  1.893082241079070E-02,  1.607096331846675E+02,  1.667419506278782E+02,  1.539860422667497E+04,  1.843149544224756E+04,  1.901660647319778E+04,
